#t, t_sol, st_sol, v_sol, sv_sol, ph_sol, sph_sol, stabilite
0.00;25.74;0.03;792.55;2.64;12.65;0.03;2.97
2.79;25.75;0.02;792.45;1.44;12.65;0.02;4.09
5.59;25.74;0.02;793.18;1.90;12.66;0.03;4.87
8.38;25.73;0.02;793.55;2.39;12.66;0.03;5.46
11.18;25.74;0.02;793.09;2.27;12.66;0.03;5.91
13.98;25.74;0.03;792.55;2.87;12.65;0.04;6.26
16.77;25.73;0.02;792.73;2.77;12.65;0.04;6.51
19.57;25.74;0.02;794.64;2.06;12.68;0.03;6.69
22.37;25.73;0.01;792.82;2.55;12.65;0.03;6.79
25.16;25.73;0.02;792.55;1.62;12.65;0.02;6.83
27.95;25.73;0.02;793.82;2.59;12.67;0.03;6.79
30.75;25.73;0.02;792.73;2.96;12.65;0.04;6.69
33.55;25.73;0.02;792.91;2.75;12.65;0.04;6.51
36.34;25.74;0.02;792.82;1.11;12.65;0.01;6.26
39.14;25.72;0.01;793.36;2.64;12.66;0.03;5.91
41.93;25.73;0.02;792.55;2.19;12.65;0.03;5.46
44.73;25.73;0.02;793.09;3.48;12.66;0.05;4.88
47.53;25.73;0.02;793.73;1.35;12.66;0.02;4.10
50.32;25.74;0.02;793.09;1.83;12.66;0.02;2.98
53.12;25.73;0.02;792.45;3.09;12.65;0.04;0.01
